iter	Passed	Remaining
0	2	225
1	6	331
2	8	275
3	9	228
4	11	211
5	12	195
6	14	197
7	16	186
8	18	184
9	19	176
10	21	170
11	22	162
12	23	156
13	25	154
14	26	149
15	27	143
16	28	138
17	29	134
18	30	131
19	31	127
20	32	123
21	33	119
22	34	117
23	36	114
24	37	111
25	38	110
26	39	107
27	41	105
28	42	103
29	43	101
30	44	99
31	45	97
32	46	95
33	48	93
34	49	91
35	50	90
36	52	89
37	54	88
38	55	86
39	56	84
40	58	84
41	59	81
42	60	79
43	61	78
44	62	76
45	63	74
46	65	73
47	66	71
48	67	70
49	68	68
50	69	67
51	70	65
52	71	63
53	73	62
54	73	60
55	74	58
56	75	56
57	76	55
58	77	53
59	78	52
60	79	51
61	80	49
62	81	48
63	83	46
64	84	45
65	85	44
66	86	42
67	87	41
68	88	39
69	89	38
70	90	37
71	91	35
72	92	34
73	94	33
74	95	31
75	96	30
76	98	29
77	99	27
78	100	26
79	101	25
80	102	24
81	103	22
82	104	21
83	105	20
84	106	18
85	107	17
86	109	16
87	110	15
88	111	13
89	113	12
90	114	11
91	115	10
92	116	8
93	117	7
94	118	6
95	119	4
96	120	3
97	121	2
98	123	1
99	124	0
