iter	Passed	Remaining
0	148	148336
1	158	79006
2	170	56598
3	172	43068
4	178	35500
5	179	29817
6	181	25701
7	183	22802
8	188	20734
9	192	19028
10	194	17498
11	201	16561
12	204	15523
13	208	14713
14	210	13814
15	214	13163
16	218	12629
17	232	12692
18	235	12168
19	241	11850
20	243	11368
21	246	10978
22	248	10549
23	249	10151
24	250	9780
25	252	9443
26	254	9155
27	256	8910
28	261	8748
29	262	8487
30	263	8239
31	264	8010
32	266	7796
33	271	7705
34	274	7555
35	276	7410
36	278	7254
37	279	7086
38	286	7051
39	290	6962
40	292	6832
41	293	6702
42	295	6566
43	296	6436
44	304	6451
45	306	6360
46	309	6268
47	310	6153
48	311	6044
49	317	6023
50	318	5921
51	319	5831
52	323	5786
53	325	5695
54	326	5606
55	332	5609
56	333	5525
57	335	5444
58	337	5387
59	339	5316
60	340	5238
61	341	5163
62	342	5092
63	348	5095
64	349	5030
65	351	4972
66	353	4918
67	354	4858
68	355	4798
69	357	4743
70	365	4779
71	368	4748
72	370	4706
73	372	4656
74	378	4673
75	380	4624
76	381	4578
77	383	4534
78	384	4486
79	386	4440
80	387	4394
81	393	4410
82	394	4360
83	396	4327
84	400	4312
85	401	4269
86	403	4235
87	405	4200
88	409	4194
89	411	4162
90	412	4125
91	414	4087
92	415	4052
93	416	4016
94	418	3984
95	420	3961
96	421	3925
97	422	3891
98	423	3858
99	431	3879
100	432	3848
101	435	3830
102	436	3805
103	438	3773
104	439	3743
105	445	3756
106	446	3729
107	449	3708
108	452	3697
109	453	3670
110	454	3642
111	458	3633
112	460	3617
113	463	3599
114	464	3577
115	471	3592
116	472	3568
117	475	3551
118	478	3542
119	480	3520
120	481	3496
121	483	3477
122	484	3455
123	486	3437
124	489	3424
125	490	3402
126	491	3379
127	494	3365
128	496	3350
129	498	3336
130	499	3315
131	500	3293
132	502	3274
133	506	3274
134	508	3255
135	510	3243
136	512	3225
137	513	3204
138	514	3184
139	515	3163
140	521	3177
141	522	3157
142	524	3142
143	527	3133
144	528	3114
145	529	3096
146	532	3088
147	535	3084
148	537	3071
149	540	3062
150	541	3047
151	543	3030
152	544	3013
153	550	3026
154	552	3011
155	555	3005
156	556	2990
157	557	2973
158	559	2960
159	565	2968
160	566	2950
161	567	2934
162	569	2923
163	570	2909
164	571	2893
165	572	2877
166	573	2862
167	579	2868
168	580	2855
169	583	2849
170	586	2843
171	588	2831
172	589	2817
173	597	2834
174	598	2821
175	601	2815
176	603	2807
177	612	2827
178	617	2834
179	636	2899
180	645	2922
181	650	2922
182	651	2909
183	652	2895
184	655	2888
185	656	2874
186	658	2864
187	662	2861
188	663	2848
189	670	2858
190	672	2849
191	676	2845
192	678	2835
193	679	2824
194	691	2853
195	694	2847
196	695	2835
197	704	2853
198	708	2852
199	711	2844
200	720	2865
201	724	2862
202	725	2849
203	726	2835
204	734	2848
205	736	2840
206	739	2834
207	741	2822
208	742	2809
209	748	2815
210	750	2807
211	755	2806
