iter	Passed	Remaining
0	1	128
1	2	109
2	3	101
3	3	93
4	5	98
5	7	119
6	8	113
7	9	109
8	10	106
9	11	102
10	12	101
11	13	101
12	14	99
13	15	97
14	16	94
15	17	92
16	18	91
17	19	89
18	21	93
19	23	92
20	24	91
21	25	89
22	26	88
23	27	88
24	29	87
25	30	85
26	31	83
27	32	82
28	33	81
29	34	79
30	37	83
31	38	82
32	39	80
33	40	78
34	41	76
35	42	75
36	43	73
37	43	71
38	44	69
39	45	68
40	46	66
41	46	64
42	47	62
43	48	61
44	48	59
45	49	58
46	52	58
47	53	57
48	53	56
49	54	54
50	55	53
51	56	52
52	57	51
53	58	49
54	58	48
55	59	47
56	60	45
57	61	44
58	62	43
59	63	42
60	63	40
61	64	39
62	66	39
63	67	38
64	68	37
65	69	35
66	70	34
67	72	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	76	27
74	77	25
75	78	24
76	79	23
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	93	9
91	94	8
92	96	7
93	98	6
94	99	5
95	100	4
96	101	3
97	102	2
98	103	1
99	104	0
